ID	Bin	TaxonRelativeAbundance	Domain	Phylum	Class	Order	Family	Species
OTU_DN_1788	Bin3	1.46484001478428e-06	Bacteria	Parcubacteria	Candidatus Giovannonibacteria	Candidatus Giovannonibacteria bacterium GW2011_GWF2_42_19	Candidatus Giovannonibacteria bacterium GW2011_GWF2_42_19	Candidatus Giovannonibacteria bacterium GW2011_GWF2_42_19
OTU_DN_10677	Bin3	1.58507493441752e-06	Bacteria	Parcubacteria	Candidatus Giovannonibacteria	NA	NA	NA
AF507685.1.1468	Bin3	2.82857425714569e-06	Bacteria	Parcubacteria	Candidatus Nomurabacteria	NA	NA	NA
OTU_DN_2335	Bin3	4.67120977540809e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured soil bacterium	uncultured soil bacterium	uncultured soil bacterium
AF507683.1.1534	Bin3	7.81775255249621e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured soil bacterium	uncultured soil bacterium	uncultured soil bacterium
OTU_DN_13908	Bin3	1.21097628908426e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_6366	Bin3	1.89925501402972e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_6431	Bin3	1.58507493441752e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	NA	NA	NA
OTU_DN_11540	Bin3	1.58507493441752e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	NA	NA	NA
OTU_DN_6948	Bin3	1.22065801510854e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	NA	NA	NA
OTU_DN_1668	Bin3	8.85794513388784e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	NA	NA	NA
OTU_DN_13343	Bin3	8.77770463023919e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	Parcubacteria group bacterium GW2011_GWA2_40_14	Parcubacteria group bacterium GW2011_GWA2_40_14	Parcubacteria group bacterium GW2011_GWA2_40_14
OTU_DN_8773	Bin3	7.6372023400388e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_15362	Bin3	7.92537467208762e-07	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5414	Bin3	4.72293816737515e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5262	Bin3	1.13521710456284e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	NA	NA	NA
OTU_DN_10922	Bin3	1.58507493441752e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	NA	NA	NA
OTU_DN_10607	Bin3	3.44758540662539e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	NA	NA	NA
OTU_DN_17214	Bin3	1.158091002791e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_14159	Bin3	1.93787182915722e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	NA	NA	NA
OTU_DN_15047	Bin3	1.58507493441752e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5048	Bin3	3.68863756962767e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	NA	NA	NA
OTU_DN_8426	Bin3	2.316182005582e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_2459	Bin3	1.23121845482628e-06	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
