"SpeciesID"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Species"
"128"	"AF507683.1.1534"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured soil bacterium"	"uncultured soil bacterium"	"uncultured soil bacterium"
"129"	"OTU_DN_13908"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"130"	"OTU_DN_6366"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"131"	"OTU_DN_6431"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	NA	NA	NA
"132"	"OTU_DN_11540"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	NA	NA	NA
"133"	"OTU_DN_6948"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	NA	NA	NA
"134"	"OTU_DN_1668"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	NA	NA	NA
"135"	"OTU_DN_13343"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"Parcubacteria group bacterium GW2011_GWA2_40_14"	"Parcubacteria group bacterium GW2011_GWA2_40_14"	"Parcubacteria group bacterium GW2011_GWA2_40_14"
"136"	"OTU_DN_8773"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"137"	"OTU_DN_15362"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"138"	"OTU_DN_5414"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"139"	"OTU_DN_5262"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	NA	NA	NA
"140"	"OTU_DN_10922"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	NA	NA	NA
"141"	"OTU_DN_10607"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	NA	NA	NA
"142"	"OTU_DN_17214"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"143"	"OTU_DN_14159"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	NA	NA	NA
"144"	"OTU_DN_15047"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"145"	"OTU_DN_5048"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	NA	NA	NA
