	COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkc16S	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1c16S	SVERCc1	SVERCc2c16S	SVERCc2	SVERCc3c16S	SVERCc3	SVERCcbulkc16S	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
ZOTU519	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU77	0	2	0	3	6	5	15	1	4	27	16	11	11	97	1	0	0	0	1	2	1	0	5	11	34	0	11	2	36	11	32	2	9	12	73	22	24	8	120
ZOTU127	0	4	0	0	0	0	0	0	1	0	3	7	1	85	2	0	2	1	4	0	1	0	30	33	19	0	30	4	54	17	147	1	1	5	15	10	9	4	30
ZOTU92	0	4	7	3	1	0	5	1	2	21	0	1	0	1	12	6	1	4	53	11	11	3	107	74	7	0	20	1	13	6	33	4	2	1	20	3	5	0	14
ZOTU184	0	2	0	3	6	1	8	3	9	7	0	0	0	0	0	0	0	0	15	0	1	0	3	0	2	0	0	0	27	0	12	0	0	0	2	1	9	1	17
ZOTU168	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU317	0	3	1	0	9	4	4	0	0	0	3	4	5	15	0	0	0	10	0	3	0	0	4	18	6	0	16	3	6	2	7	5	0	2	2	3	3	1	6
ZOTU123	0	5	1	0	1	3	3	0	9	18	21	16	16	168	6	5	1	3	2	9	1	3	33	38	11	2	52	7	35	4	39	6	14	17	206	37	42	20	163
ZOTU91	0	2	3	0	1	2	3	0	15	24	5	9	1	61	6	2	0	0	4	7	7	3	18	22	17	1	12	1	30	0	16	3	0	3	40	2	4	2	24
ZOTU248	0	1	6	0	0	1	2	2	10	11	0	0	0	1	2	0	1	4	8	1	6	2	23	13	11	0	8	1	5	1	10	0	0	0	0	0	0	0	1
ZOTU347	0	1	0	0	0	0	1	0	3	13	0	1	1	32	0	2	0	0	0	0	1	0	9	0	10	0	0	0	5	0	9	0	0	0	0	0	0	0	0
ZOTU218	0	1	0	0	0	0	2	1	0	1	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0
ZOTU35	0	3	0	0	2	2	3	0	8	5	8	18	19	211	44	9	17	17	57	56	54	41	215	113	293	1	417	22	458	35	288	16	57	56	758	49	82	96	312
ZOTU401	0	1	0	0	0	0	0	1	3	8	0	0	0	0	1	0	0	0	1	0	0	0	10	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0
ZOTU94	0	2	0	0	0	0	0	0	0	3	8	10	5	73	4	3	0	1	8	14	12	4	38	19	0	0	0	0	0	0	0	11	27	66	343	27	7	31	54
ZOTU455	0	1	2	1	2	1	1	0	6	0	0	0	0	0	0	4	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU207	0	1	0	0	1	0	0	0	3	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3
ZOTU328	0	1	0	0	1	0	0	0	0	1	1	4	0	9	0	2	0	0	3	1	0	0	2	2	0	1	2	2	4	3	1	0	0	0	6	3	11	1	28
ZOTU503	0	1	0	0	1	1	0	0	3	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU59	0	1	1	0	4	1	2	0	8	2	0	0	3	2	5	1	2	1	3	4	3	4	22	6	303	7	410	36	366	47	309	0	0	0	7	1	0	0	2
ZOTU345	0	2	2	1	0	0	0	0	4	4	0	0	0	0	1	1	0	0	0	0	2	1	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU487	0	1	0	0	0	0	3	2	0	4	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	2	0	1	1	3	0	0	0	0	0	1	1	0
ZOTU162	0	2	0	3	0	2	6	2	6	2	2	1	2	38	0	0	1	1	4	2	0	0	9	3	2	0	18	1	4	3	18	1	6	10	84	13	8	10	91
ZOTU291	0	1	0	0	0	0	0	0	1	7	0	1	0	15	0	0	3	0	0	5	0	0	4	3	4	0	13	1	10	1	3	0	1	3	9	2	1	0	11
ZOTU84	0	0	2	2	2	0	0	1	6	15	5	8	24	81	7	14	24	12	15	99	34	42	128	145	18	0	13	2	5	2	3	1	10	2	91	15	27	12	318
ZOTU158	0	0	1	0	0	1	0	0	10	6	0	0	0	4	0	1	0	0	1	0	0	0	4	1	0	0	2	0	2	0	5	0	0	1	2	0	0	1	1
ZOTU267	0	0	4	0	0	0	5	0	19	24	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0
ZOTU278	0	0	1	0	1	1	0	5	4	22	0	0	0	0	3	8	1	0	3	3	0	2	0	25	6	0	2	0	7	2	3	0	0	0	0	0	0	0	0
ZOTU391	0	0	1	0	2	0	1	0	6	6	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	1	0	4	0	0	0	0	0	0	0	0
ZOTU484	0	0	2	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	2	1	2	0	0	0	0	0	0	0	0
ZOTU125	0	0	1	0	0	0	2	0	0	1	5	5	23	452	0	1	2	0	0	0	1	0	38	48	6	0	3	0	2	1	8	19	7	19	31	8	4	14	50
ZOTU51	0	0	1	0	5	9	3	8	32	41	22	57	16	268	22	5	6	10	10	6	8	13	59	23	237	3	443	19	496	51	262	9	4	0	21	9	8	5	25
ZOTU72	0	0	2	0	0	3	0	0	12	19	18	20	23	236	0	1	2	0	2	9	13	8	24	17	6	0	15	2	11	3	11	12	12	7	265	26	30	21	161
