OTU	ERR2092865	ERR2092866	ERR2092867	ERR2092868	ERR2092869	ERR2092870	ERR2092871	ERR2092872	ERR2092873	ERR2092874	ERR2092875	ERR2092876	ERR2092877	ERR2092878	ERR2092879	ERR2092880	ERR2092881	ERR2092882	ERR2092883	ERR2092884	ERR2092885	ERR2092886	ERR2092887	ERR2092888	ERR2092889	ERR2092890	ERR2092891	ERR2092892	ERR2092893	ERR2092894	ERR2092895	ERR2092896	ERR2092897	ERR2092898	ERR2092899	ERR2092900
HM186234.1.1359	0	0	0	2	0	0	0	0	0	0	3	3	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	2	0	0	1	0	0	1	0	0
HQ597464.1.1505	0	0	0	1	1	0	0	0	0	0	2	0	0	1	1	1	0	0	1	0	2	0	1	0	0	2	1	3	0	0	0	0	5	7	5	8
OTU_dn_1789	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_3316	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HM445065.1.1343	0	0	0	1	0	0	1	0	1	0	0	0	0	1	2	2	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU_dn_3294	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JQ769937.1.1492	0	0	0	2	1	0	0	0	3	3	0	0	1	2	1	0	0	2	0	1	0	0	0	0	0	0	0	13	0	0	0	0	2	0	0	0
OTU_dn_2833	0	0	0	1	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	1
FM209166.1.1380	0	0	0	3	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	1	2	0	0	1	0	3	6	2	2
FQ658932.1.1312	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	8
OTU_dn_3065	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KT748575.1.1521	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_2220	0	0	0	1	1	0	2	0	2	0	1	2	0	1	3	1	3	0	1	3	0	0	0	1	0	3	6	0	0	0	3	2	1	1	2	0
DQ125684.1.1476	0	0	0	1	1	0	0	0	0	0	2	1	1	0	0	1	2	0	0	0	1	0	2	1	0	1	0	3	0	1	1	1	3	2	2	0
EU132277.1.1351	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	2	0
OTU_dn_2729	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
OTU_dn_4901	0	0	0	1	1	0	0	0	0	0	1	2	1	2	3	0	0	0	0	0	1	0	0	2	2	0	0	5	0	0	0	0	3	2	0	2
JF124141.1.1267	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ674953.1.1504	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	1	2	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	3	13	7	9
OTU_dn_3916	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0
OTU_dn_2877	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ681986.1.1454	0	0	0	3	3	6	1	1	1	3	7	3	1	1	1	1	2	4	0	0	3	2	4	4	0	0	7	0	2	0	5	0	2	6	0	3
